id,name,author,slug,published,created,modified,path,comments,game_position,ludum_dare_version,data_authors,cool,feedback,given,grade,grade-01-average,grade-01-result,grade-02-average,grade-02-result,grade-03-average,grade-03-result,grade-04-average,grade-04-result,grade-05-average,grade-05-result,grade-06-average,grade-06-result,grade-07-average,grade-07-result,grade-08-average,grade-08-result,smart
243807,Descendants,"[36785, 45824, 234723]",descendants,2021-04-26T20:18:58Z,2021-04-23T14:45:01Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/descendants,48,33,48,https://api.ldjam.com/vx/node2/get/36785+45824+234723,98.315162216814,90,50.625,61,4.305,33,4.017,137,3.975,166,4.195,175,4.432,119,4.237,71,,,4.5,27,-4.6537410754408
239566,Abyss Asylum,"[79181, 131711]",abyssasylum,2021-04-27T00:43:54Z,2021-04-19T07:20:34Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/abyssasylum,33,34,48,https://api.ldjam.com/vx/node2/get/79181+131711,45.291081365784,11,6,40.333333333333,4.303,34,4,145,3.776,315,4.526,12,4.75,11,,,,,4.684,3,-46.930926797124
244559,Magic Frontier,"[79632, 188442]",magic-frontier,2021-04-25T22:01:33Z,2021-04-23T19:26:52Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/magic-frontier,50,35,48,https://api.ldjam.com/vx/node2/get/79632+188442,91.739171841249,56,44.5,61.571428571429,4.29,35,4.484,8,4.177,68,3.131,1495,4.294,234,,,2.688,894,4.068,247,-18.709638075463
244262,Mine Shaft,"[237538, 247289]",mine-shaft,2021-04-27T00:48:29Z,2021-04-23T17:56:13Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/mine-shaft,20,36,48,https://api.ldjam.com/vx/node2/get/237538+247289,81.411958438206,12,21.375,33.25,4.288,36,4.359,21,4.636,3,4.485,25,3.859,690,3.797,342,3.889,147,4,297,-21.118936225338
249762,Far Gone,"[9508, 249684, 36922]",far-gone,2021-04-26T00:17:13Z,2021-04-25T22:34:51Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/far-gone,53,36,48,https://api.ldjam.com/vx/node2/get/9508+249684+36922,93.632917756904,103,56,64.875,4.288,36,3.46,732,3.877,245,3.636,929,4.348,180,4.254,66,2.872,760,4.545,14,-5.8798477134704
243601,Eldritch Depths,"[14061, 196251, 251406]",eldritch-depths,2021-04-26T23:35:31Z,2021-04-23T13:12:45Z,2024-10-04T19:59:59Z,/events/ludum-dare/48/eldritch-depths,20,38,48,https://api.ldjam.com/vx/node2/get/14061+196251+251406,100.93025258985,40,27.25,31.714285714286,4.283,38,4.367,20,3.862,258,3.917,535,4.15,370,3.967,209,,,4.207,136,1.8889392044268
251638,Bulldozer By The Sea,"[56275, 66766]",bulldozer-by-the-sea,2021-04-26T21:21:25Z,2021-04-26T20:52:41Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/bulldozer-by-the-sea,30,39,48,https://api.ldjam.com/vx/node2/get/56275+66766,80.738908408883,58,23.875,43,4.28,39,4.268,38,4.366,31,3.951,483,4.232,297,4.659,2,4.366,21,,,-2.725308577216
233893,The Void,"[40622, 85869, 212592, 213967, 143240, 253616]",ludum-dare-48-game,2021-04-27T01:05:09Z,2021-02-21T23:03:21Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/ludum-dare-48-game,31,40,48,https://api.ldjam.com/vx/node2/get/40622+85869+212592+213967+143240+253616,102.82884075882,21,32.25,36,4.279,40,4,145,3.662,413,4.485,25,4.576,57,,,3.574,294,4.515,25,-16.982580792391
247544,DeepO,"[57217, 56854, 83511]",deepo,2021-04-27T01:59:26Z,2021-04-24T15:30:26Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/deepo,43,41,48,https://api.ldjam.com/vx/node2/get/57217+56854+83511,111.2101075545,36,55.5,45.875,4.278,41,4.217,54,4.043,130,4.185,184,4.337,187,3.92,243,2.985,662,4.17,169,-18.247053240892
245153,Depths of Darvaza ,"[9110, 122697, 164990]",depths-of-darvaza,2021-04-27T01:07:25Z,2021-04-23T22:16:37Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/depths-of-darvaza,50,42,48,https://api.ldjam.com/vx/node2/get/9110+122697+164990,112.15930699201,70,54.25,44.125,4.274,42,4.024,125,3.25,870,3.988,428,4.535,67,4.535,6,4.28,38,4.274,105,1.9294382875251
242698,Oceanwork,[218926],oceanwork,2021-04-27T01:45:00Z,2021-04-22T21:45:30Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/oceanwork,58,43,48,https://api.ldjam.com/vx/node2/get/218926,26.466641112681,6,3.625,70.333333333333,4.272,43,3.846,260,3.652,422,4.442,38,4.544,64,4.199,83,,,,,-69.943235521615
238423,THE PIT,"[2885, 10739]",the-pit-5,2021-04-27T02:08:25Z,2021-04-15T14:42:36Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/the-pit-5,45,44,48,https://api.ldjam.com/vx/node2/get/2885+10739,48.553212547361,15,7.75,33.875,4.271,44,4.448,12,3.719,364,4.271,118,4.265,262,3.567,582,3.714,,4.176,164,-32.904210128726
248949,Shire Story (Underground Edition),[171940],shire-story-underground-edition,2021-04-26T23:08:56Z,2021-04-25T13:20:12Z,2024-04-16T01:23:03Z,/events/ludum-dare/48/shire-story-underground-edition,27,44,48,https://api.ldjam.com/vx/node2/get/171940,122.74277768441,40,28.625,26.666666666667,4.271,44,4.14,73,3.74,346,3.88,595,4.52,75,,,,,4.083,232,-0.93898793092447
