rank,author,composite_score,count,team_size,grade,game_position,performance_score,game_link,Fun_score,Fun_rank,Overall_score,Overall_rank,Mood_score,Mood_rank,Graphics_score,Graphics_rank,Innovation_score,Innovation_rank,Audio_score,Audio_rank,Theme_score,Theme_rank,Humor_score,Humor_rank
8,103159,1950.660912,2,9,195.75,"[130.0, 194.0]",0.5551364,/events/ludum-dare/46/friendly-fire-2,0.54992,194.0,0.574,130.0,0.5502,,0.57694,,0.46227999999999997,,0.5444599999999999,,0.5329799999999999,,0.58646,
8,103095,1950.660912,2,9,195.75,"[130.0, 194.0]",0.5551364,/events/ludum-dare/46/friendly-fire-2,0.54992,194.0,0.574,130.0,0.5502,,0.57694,,0.46227999999999997,,0.5444599999999999,,0.5329799999999999,,0.58646,
8,103099,1950.660912,2,9,195.75,"[130.0, 194.0]",0.5551364,/events/ludum-dare/46/friendly-fire-2,0.54992,194.0,0.574,130.0,0.5502,,0.57694,,0.46227999999999997,,0.5444599999999999,,0.5329799999999999,,0.58646,
14,250426,1900.1551430064,8,1,57.285714285714,"[13.0, 15.0]",7.053484600000001,/events/ludum-dare/48/beepos-shop,10.588799999999999,15.0,10.569600000000001,13.0,0.5702200000000001,,0.59318,,0.52626,,0.0,,0.6127799999999999,,0.4083799999999999,
15,6824,1817.32622731935,2,9,80.125,"[9.0, 20.0]",5.95596,/events/ludum-dare/44/knock-knock-the-travelling-soulsman,7.5312,20.0,10.3584,9.0,0.61656,,0.6531,,0.52948,,0.6042399999999999,,0.5492199999999999,,0.61026,
15,2545,1817.32622731935,2,9,80.125,"[9.0, 20.0]",5.95596,/events/ludum-dare/44/knock-knock-the-travelling-soulsman,7.5312,20.0,10.3584,9.0,0.61656,,0.6531,,0.52948,,0.6042399999999999,,0.5492199999999999,,0.61026,
15,569,1817.32622731935,2,9,80.125,"[9.0, 20.0]",5.95596,/events/ludum-dare/44/knock-knock-the-travelling-soulsman,7.5312,20.0,10.3584,9.0,0.61656,,0.6531,,0.52948,,0.6042399999999999,,0.5492199999999999,,0.61026,
18,21078,1807.32622731935,1,9,80.125,"[9.0, 20.0]",5.95596,/events/ludum-dare/44/knock-knock-the-travelling-soulsman,7.5312,20.0,10.3584,9.0,0.61656,,0.6531,,0.52948,,0.6042399999999999,,0.5492199999999999,,0.61026,
18,68404,1807.32622731935,1,9,80.125,"[9.0, 20.0]",5.95596,/events/ludum-dare/44/knock-knock-the-travelling-soulsman,7.5312,20.0,10.3584,9.0,0.61656,,0.6531,,0.52948,,0.6042399999999999,,0.5492199999999999,,0.61026,
18,145020,1807.32622731935,1,9,80.125,"[9.0, 20.0]",5.95596,/events/ludum-dare/44/knock-knock-the-travelling-soulsman,7.5312,20.0,10.3584,9.0,0.61656,,0.6531,,0.52948,,0.6042399999999999,,0.5492199999999999,,0.61026,
18,12700,1807.32622731935,1,9,80.125,"[9.0, 20.0]",5.95596,/events/ludum-dare/44/knock-knock-the-travelling-soulsman,7.5312,20.0,10.3584,9.0,0.61656,,0.6531,,0.52948,,0.6042399999999999,,0.5492199999999999,,0.61026,
18,145056,1807.32622731935,1,9,80.125,"[9.0, 20.0]",5.95596,/events/ludum-dare/44/knock-knock-the-travelling-soulsman,7.5312,20.0,10.3584,9.0,0.61656,,0.6531,,0.52948,,0.6042399999999999,,0.5492199999999999,,0.61026,
18,12698,1807.32622731935,1,9,80.125,"[9.0, 20.0]",5.95596,/events/ludum-dare/44/knock-knock-the-travelling-soulsman,7.5312,20.0,10.3584,9.0,0.61656,,0.6531,,0.52948,,0.6042399999999999,,0.5492199999999999,,0.61026,
24,2885,1806.4776592186,8,3,48.25,"[3.0, 5.0]",7.2245462,/events/ludum-dare/52/harveyster,10.699200000000001,5.0,10.8792,3.0,0.61936,,0.6514199999999999,,0.54628,,0.63154,,0.6403599999999999,,0.48145999999999994,
24,260523,1806.4776592186,5,3,48.25,"[3.0, 5.0]",7.2245462,/events/ludum-dare/52/harveyster,10.699200000000001,5.0,10.8792,3.0,0.61936,,0.6514199999999999,,0.54628,,0.63154,,0.6403599999999999,,0.48145999999999994,
26,103086,1798.2189812285,4,7,100.25,"[17.0, 14.0]",6.040104599999999,/events/ludum-dare/44/sick-business,10.1568,14.0,7.626600000000001,17.0,0.55426,,0.58898,,0.5662999999999999,,0.5303199999999999,,0.5549599999999999,,0.5658799999999999,
27,85869,1796.4120001390497,5,11,75.125,"[60.0, 333.0]",0.6333012,/events/ludum-dare/50/game-name,0.5186999999999999,333.0,0.8301999999999999,60.0,0.6118,,0.62146,,0.49476,,0.5922000000000001,,0.4540199999999999,,0.50876,
27,40622,1796.4120001390497,5,11,75.125,"[60.0, 333.0]",0.6333012,/events/ludum-dare/50/game-name,0.5186999999999999,333.0,0.8301999999999999,60.0,0.6118,,0.62146,,0.49476,,0.5922000000000001,,0.4540199999999999,,0.50876,
29,139741,1788.2189812285003,3,7,100.25,"[17.0, 14.0]",6.040104599999999,/events/ludum-dare/44/sick-business,10.1568,14.0,7.626600000000001,17.0,0.55426,,0.58898,,0.5662999999999999,,0.5303199999999999,,0.5549599999999999,,0.5658799999999999,
29,139870,1788.2189812285003,3,7,100.25,"[17.0, 14.0]",6.040104599999999,/events/ludum-dare/44/sick-business,10.1568,14.0,7.626600000000001,17.0,0.55426,,0.58898,,0.5662999999999999,,0.5303199999999999,,0.5549599999999999,,0.5658799999999999,
31,103057,1778.2189812285,2,7,100.25,"[17.0, 14.0]",6.040104599999999,/events/ludum-dare/44/sick-business,10.1568,14.0,7.626600000000001,17.0,0.55426,,0.58898,,0.5662999999999999,,0.5303199999999999,,0.5549599999999999,,0.5658799999999999,
32,279727,1776.4776592186,2,3,48.25,"[3.0, 5.0]",7.2245462,/events/ludum-dare/52/harveyster,10.699200000000001,5.0,10.8792,3.0,0.61936,,0.6514199999999999,,0.54628,,0.63154,,0.6403599999999999,,0.48145999999999994,
