author,count,file_name,team_size,ludum_dare_version,game_link,id,cool,feedback,given,grade,grade-01-average,grade-01-result,grade-02-average,grade-02-result,grade-03-average,grade-03-result,grade-04-average,grade-04-result,grade-05-average,grade-05-result,grade-06-average,grade-06-result,grade-07-average,grade-07-result,grade-08-average,grade-08-result,smart
239184,3,ludum_dare_games_48.csv,4,48,/events/ludum-dare/48/20-000-light-years-deep-in-the-sky,249346,98.678771779953,149,97.375,212.625,4.265,48,3.813,293.0,3.964,175.0,4.024,378.0,4.689,20.0,4.498,12.0,4.09,84.0,4.252,117.0,-46.562430252526
239184,3,ludum_dare_games_53.csv,4,53,/events/ludum-dare/53/postal-hero,365541,43.808582711518,22,9.5,50.5,4.153,90,3.918,170.0,3.582,385.0,4.73,2.0,4.79,9.0,4.255,50.0,3.375,418.0,4.333,45.0,-36.90814217134
239184,3,ludum_dare_games_51.csv,5,51,/events/ludum-dare/51/a-quick-bunny-affair,303146,105.64892544371,128,88.875,80.625,4.082,89,3.753,260.0,3.462,463.0,3.987,264.0,4.719,9.0,4.234,45.0,4.141,57.0,4.078,103.0,-16.677793355191
205398,1,ludum_dare_games_48.csv,5,48,/events/ludum-dare/48/agent-in-depth,235037,53.703003074176,14,11.5,40.875,4.263,49,4.288,31.0,3.768,324.0,3.39,1236.0,4.463,100.0,4.293,59.0,2.704,888.0,4.2,141.0,-35.065231065906
204087,1,ludum_dare_games_48.csv,5,48,/events/ludum-dare/48/agent-in-depth,235037,53.703003074176,14,11.5,40.875,4.263,49,4.288,31.0,3.768,324.0,3.39,1236.0,4.463,100.0,4.293,59.0,2.704,888.0,4.2,141.0,-35.065231065906
194375,1,ludum_dare_games_48.csv,5,48,/events/ludum-dare/48/agent-in-depth,235037,53.703003074176,14,11.5,40.875,4.263,49,4.288,31.0,3.768,324.0,3.39,1236.0,4.463,100.0,4.293,59.0,2.704,888.0,4.2,141.0,-35.065231065906
240900,1,ludum_dare_games_48.csv,4,48,/events/ludum-dare/48/the-elevator,240902,96.295001286294,3,31.875,35.375,4.258,50,3.788,315.0,3.868,253.0,4.647,4.0,4.647,33.0,4.409,26.0,3.985,116.0,4.485,36.0,-32.181837713718
240903,1,ludum_dare_games_48.csv,4,48,/events/ludum-dare/48/the-elevator,240902,96.295001286294,3,31.875,35.375,4.258,50,3.788,315.0,3.868,253.0,4.647,4.0,4.647,33.0,4.409,26.0,3.985,116.0,4.485,36.0,-32.181837713718
246643,1,ludum_dare_games_48.csv,4,48,/events/ludum-dare/48/the-elevator,240902,96.295001286294,3,31.875,35.375,4.258,50,3.788,315.0,3.868,253.0,4.647,4.0,4.647,33.0,4.409,26.0,3.985,116.0,4.485,36.0,-32.181837713718
246662,1,ludum_dare_games_48.csv,4,48,/events/ludum-dare/48/the-elevator,240902,96.295001286294,3,31.875,35.375,4.258,50,3.788,315.0,3.868,253.0,4.647,4.0,4.647,33.0,4.409,26.0,3.985,116.0,4.485,36.0,-32.181837713718
252197,1,ludum_dare_games_48.csv,2,48,/events/ludum-dare/48/corporate-mole,250640,103.49348034506,179,84.75,80.125,4.256,51,4.276,34.0,3.937,193.0,3.969,464.0,4.31,216.0,3.533,611.0,4.544,7.0,4.149,189.0,-11.035040161041
3066,2,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/the-squeaky-affair,237194,127.25695259516,152,146.25,62.75,4.254,53,4.238,42.0,4.115,93.0,3.672,873.0,4.361,171.0,3.943,229.0,3.771,194.0,4.189,150.0,-0.57197799948266
3066,2,ludum_dare_games_53.csv,4,53,/events/ludum-dare/53/theater-of-the-dead,358690,95.538038385365,27,17.0,22.428571428571,3.976,196,3.762,282.0,3.75,251.0,4.167,305.0,,,3.526,386.0,3.775,204.0,3.5,612.0,4.8414781333709
184241,2,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/the-squeaky-affair,237194,127.25695259516,152,146.25,62.75,4.254,53,4.238,42.0,4.115,93.0,3.672,873.0,4.361,171.0,3.943,229.0,3.771,194.0,4.189,150.0,-0.57197799948266
184241,2,ludum_dare_games_53.csv,4,53,/events/ludum-dare/53/theater-of-the-dead,358690,95.538038385365,27,17.0,22.428571428571,3.976,196,3.762,282.0,3.75,251.0,4.167,305.0,,,3.526,386.0,3.775,204.0,3.5,612.0,4.8414781333709
237189,2,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/the-squeaky-affair,237194,127.25695259516,152,146.25,62.75,4.254,53,4.238,42.0,4.115,93.0,3.672,873.0,4.361,171.0,3.943,229.0,3.771,194.0,4.189,150.0,-0.57197799948266
237189,2,ludum_dare_games_53.csv,4,53,/events/ludum-dare/53/theater-of-the-dead,358690,95.538038385365,27,17.0,22.428571428571,3.976,196,3.762,282.0,3.75,251.0,4.167,305.0,,,3.526,386.0,3.775,204.0,3.5,612.0,4.8414781333709
3513,1,ludum_dare_games_48.csv,1,48,/events/ludum-dare/48/holey-hell,252697,35.707142142714,1,12.75,221.14285714286,4.253,54,3.984,162.0,4.269,51.0,4.409,48.0,4.511,81.0,3.445,706.0,,,3.882,415.0,-77.8940667101
12591,1,ludum_dare_games_48.csv,2,48,/events/ludum-dare/48/dont-drown,248335,93.334560620306,27,21.125,25.25,4.25,55,4.125,77.0,4.083,107.0,4.458,31.0,4.13,392.0,3.841,308.0,2.976,670.0,4.063,252.0,-1.2903766414351
3608,1,ludum_dare_games_48.csv,2,48,/events/ludum-dare/48/dont-drown,248335,93.334560620306,27,21.125,25.25,4.25,55,4.125,77.0,4.083,107.0,4.458,31.0,4.13,392.0,3.841,308.0,2.976,670.0,4.063,252.0,-1.2903766414351
11936,2,ludum_dare_games_48.csv,1,48,/events/ludum-dare/48/bucket-head,252486,73.251987403323,12,11.0,21.5,4.25,55,4.125,77.0,4.0,153.0,3.975,446.0,4.525,72.0,3.425,723.0,2.971,678.0,3.842,465.0,-14.946825143376
11936,2,ludum_dare_games_46.csv,1,46,/events/ludum-dare/46/special-meat-for-a-special-boy,197089,74.027022093287,19,17.125,32.25,4.065,154,3.597,669.0,3.887,218.0,4.274,104.0,4.419,169.0,3.433,782.0,3.571,433.0,4.172,133.0,-13.50771114987
240921,1,ludum_dare_games_48.csv,6,48,/events/ludum-dare/48/far-fetched,240615,100.0,22,51.25,52.25,4.245,59,3.97,176.0,3.46,628.0,4.029,368.0,4.461,105.0,4.53,8.0,3.633,262.0,4.24,119.0,-30.124187961919
169340,1,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/drop-n3t,241305,102.70318985056,30,28.875,28.375,4.241,61,4.37,18.0,3.704,376.0,4.315,90.0,4.667,26.0,4.389,33.0,2.413,1128.0,4.058,254.0,1.9294382875251
169425,1,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/drop-n3t,241305,102.70318985056,30,28.875,28.375,4.241,61,4.37,18.0,3.704,376.0,4.315,90.0,4.667,26.0,4.389,33.0,2.413,1128.0,4.058,254.0,1.9294382875251
244479,1,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/drop-n3t,241305,102.70318985056,30,28.875,28.375,4.241,61,4.37,18.0,3.704,376.0,4.315,90.0,4.667,26.0,4.389,33.0,2.413,1128.0,4.058,254.0,1.9294382875251
1960,2,ludum_dare_games_48.csv,4,48,/events/ludum-dare/48/into-the-matrix,252135,143.77319537145,21,42.375,24.571428571429,4.239,62,4.391,16.0,3.565,512.0,3.543,1052.0,4.348,180.0,,,2.8,806.0,4.043,270.0,0.85107917588275
1960,2,ludum_dare_games_44.csv,2,44,/events/ludum-dare/44/the-cult-of-the-midnight-sun,149566,130.59890798301,10,45.625,37.0,4.186,26,3.971,69.0,3.771,102.0,3.914,126.0,4.029,262.0,,,,,4.357,19.0,16.971930104758
2812,2,ludum_dare_games_48.csv,4,48,/events/ludum-dare/48/into-the-matrix,252135,143.77319537145,21,42.375,24.571428571429,4.239,62,4.391,16.0,3.565,512.0,3.543,1052.0,4.348,180.0,,,2.8,806.0,4.043,270.0,0.85107917588275
2812,2,ludum_dare_games_44.csv,2,44,/events/ludum-dare/44/the-cult-of-the-midnight-sun,149566,130.59890798301,10,45.625,37.0,4.186,26,3.971,69.0,3.771,102.0,3.914,126.0,4.029,262.0,,,,,4.357,19.0,16.971930104758
221316,1,ludum_dare_games_48.csv,4,48,/events/ludum-dare/48/into-the-matrix,252135,143.77319537145,21,42.375,24.571428571429,4.239,62,4.391,16.0,3.565,512.0,3.543,1052.0,4.348,180.0,,,2.8,806.0,4.043,270.0,0.85107917588275
202164,1,ludum_dare_games_48.csv,4,48,/events/ludum-dare/48/into-the-matrix,252135,143.77319537145,21,42.375,24.571428571429,4.239,62,4.391,16.0,3.565,512.0,3.543,1052.0,4.348,180.0,,,2.8,806.0,4.043,270.0,0.85107917588275
38569,1,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/unpaid-serenade-for-future-solution-group-2026-econ-griefheartbreak-singalong,245330,114.31957626427,51,47.375,37.25,4.236,63,3.486,686.0,4.028,136.0,3.389,1239.0,4.514,80.0,4.194,86.0,3.567,298.0,4.569,10.0,2.8991510855053
12083,1,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/unpaid-serenade-for-future-solution-group-2026-econ-griefheartbreak-singalong,245330,114.31957626427,51,47.375,37.25,4.236,63,3.486,686.0,4.028,136.0,3.389,1239.0,4.514,80.0,4.194,86.0,3.567,298.0,4.569,10.0,2.8991510855053
12070,1,ludum_dare_games_48.csv,3,48,/events/ludum-dare/48/unpaid-serenade-for-future-solution-group-2026-econ-griefheartbreak-singalong,245330,114.31957626427,51,47.375,37.25,4.236,63,3.486,686.0,4.028,136.0,3.389,1239.0,4.514,80.0,4.194,86.0,3.567,298.0,4.569,10.0,2.8991510855053
