author,overall_score,total_entries,average_team_size,unique_events,unique_games,Overall_score,Fun_score,Innovation_score,Theme_score,Graphics_score,Audio_score,Humor_score,Mood_score,Overall_rank,Fun_rank,Innovation_rank,Theme_rank,Graphics_rank,Audio_rank,Humor_rank,Mood_rank,game_link,ludum_events,rank
1789,3.9650233333333333,3,1.0,3,3,4.075666666666667,3.854333333333333,3.764666666666667,4.244666666666666,4.050333333333334,3.9899999999999998,3.3859999999999997,3.9936666666666665,105.66666666666667,223.33333333333334,233.66666666666666,69.0,321.6666666666667,144.33333333333334,378.0,231.33333333333334,"{'/events/ludum-dare/48/until-there-was-nothing', '/events/ludum-dare/47/oddpum', '/events/ludum-dare/44/garua'}","{48, 44, 47}",2362
6648,3.964675,2,4.0,2,2,4.026,3.9939999999999998,3.5315,3.85,4.2065,3.9325,3.343,3.796,110.0,99.0,380.0,314.0,192.0,148.5,353.5,285.0,"{'/events/ludum-dare/45/red-escape', '/events/ludum-dare/50/flat-idea'}","{50, 45}",2363
227378,3.96462,4,3.25,4,4,4.04375,3.869,3.9454999999999996,4.323,4.18025,4.03475,3.6195,3.7897499999999997,136.0,222.5,174.25,121.5,287.5,160.25,244.5,390.0,"{'/events/ludum-dare/49/the-penguins-below', '/events/ludum-dare/54/robo-rush-hour', '/events/ludum-dare/47/oops-loops-1', '/events/ludum-dare/51/night-at-the-orphanarium'}","{49, 51, 54, 47}",2364
142038,3.96462,4,3.25,4,4,4.04375,3.869,3.9454999999999996,4.323,4.18025,4.03475,3.6195,3.7897499999999997,136.0,222.5,174.25,121.5,287.5,160.25,244.5,390.0,"{'/events/ludum-dare/49/the-penguins-below', '/events/ludum-dare/54/robo-rush-hour', '/events/ludum-dare/47/oops-loops-1', '/events/ludum-dare/51/night-at-the-orphanarium'}","{49, 51, 54, 47}",2364
383305,3.964305,2,6.5,1,2,3.978,3.925,3.987,3.524,4.0255,3.9185000000000003,4.0435,4.103,179.0,178.5,96.0,694.5,370.5,174.5,138.5,146.5,"{'/events/ludum-dare/55/honse', '/events/ludum-dare/55/lift-summoner-deluxe-1997-kitten-edition'}",{55},2366
384171,3.964079999999999,1,4.0,1,1,4.1,4.3,3.625,3.925,4.425,,3.158,3.8,92.0,19.0,271.0,330.0,93.0,,479.0,315.0,{'/events/ludum-dare/56/swamp-axe'},{56},2367
5417,3.964079999999999,1,4.0,1,1,4.1,4.3,3.625,3.925,4.425,,3.158,3.8,92.0,19.0,271.0,330.0,93.0,,479.0,315.0,{'/events/ludum-dare/56/swamp-axe'},{56},2367
6996,3.964079999999999,1,4.0,1,1,4.1,4.3,3.625,3.925,4.425,,3.158,3.8,92.0,19.0,271.0,330.0,93.0,,479.0,315.0,{'/events/ludum-dare/56/swamp-axe'},{56},2367
384222,3.964079999999999,1,4.0,1,1,4.1,4.3,3.625,3.925,4.425,,3.158,3.8,92.0,19.0,271.0,330.0,93.0,,479.0,315.0,{'/events/ludum-dare/56/swamp-axe'},{56},2367
194378,3.96398,1,5.0,1,1,4.123,3.806,4.057,4.157,4.241,3.765,,4.106,103.0,283.0,107.0,196.0,204.0,310.0,,123.0,{'/events/ludum-dare/47/shadow-of-archimedes'},{47},2371
186151,3.96398,1,5.0,1,1,4.123,3.806,4.057,4.157,4.241,3.765,,4.106,103.0,283.0,107.0,196.0,204.0,310.0,,123.0,{'/events/ludum-dare/47/shadow-of-archimedes'},{47},2371
194314,3.96398,1,5.0,1,1,4.123,3.806,4.057,4.157,4.241,3.765,,4.106,103.0,283.0,107.0,196.0,204.0,310.0,,123.0,{'/events/ludum-dare/47/shadow-of-archimedes'},{47},2371
186149,3.96398,1,5.0,1,1,4.123,3.806,4.057,4.157,4.241,3.765,,4.106,103.0,283.0,107.0,196.0,204.0,310.0,,123.0,{'/events/ludum-dare/47/shadow-of-archimedes'},{47},2371
